date,open,high,low,close,volume
2024-09-27,36.95,36.95,35.6,36.0,1676636
2024-09-30,36.0,36.05,34.9,35.15,1636883
2024-10-01,35.2,35.55,34.65,35.0,983315
2024-10-04,35.0,35.0,33.7,33.85,2091502
2024-10-07,34.25,34.7,34.25,34.55,1188631
2024-10-08,34.5,34.5,33.55,34.1,1505296
2024-10-09,34.7,35.45,34.3,34.55,2586285
2024-10-11,34.55,34.75,34.05,34.15,1037175
2024-10-14,34.15,35.2,34.0,35.15,1072693
2024-10-15,35.45,36.6,35.3,35.3,2245032
2024-10-16,35.25,36.75,34.9,36.5,3165376
2024-10-17,37.1,37.95,36.85,37.2,5765448
2024-10-18,37.25,37.3,36.7,37.0,1848914
2024-10-21,37.3,37.8,37.15,37.5,2070937
2024-10-22,37.75,40.75,37.3,39.9,16923590
2024-10-23,40.0,40.3,39.2,39.35,6489230
2024-10-24,39.7,39.85,38.7,38.75,4580406
2024-10-25,38.9,41.4,38.7,40.55,14974943
2024-10-28,41.15,41.15,39.75,40.2,9602386
2024-10-29,39.85,39.85,38.85,39.05,4534393
2024-10-30,39.25,40.35,38.4,39.45,5551491
2024-11-01,38.35,40.1,38.35,39.9,2710215
2024-11-04,40.05,41.1,39.3,40.2,8297687
2024-11-05,40.4,40.9,39.6,39.7,4193375
2024-11-06,40.0,40.0,39.1,39.15,2561992
2024-11-07,38.7,39.75,38.65,39.6,1832616
2024-11-08,39.8,41.2,39.3,39.4,7842732
2024-11-11,39.1,39.1,35.75,36.05,6538538
2024-11-12,35.35,35.5,34.1,35.1,4370148
2024-11-13,35.25,36.3,34.95,34.95,1741667
2024-11-14,35.15,35.4,34.5,34.5,1414996
2024-11-15,34.5,35.25,34.1,34.1,1865106
2024-11-18,34.2,34.25,33.5,33.5,1563509
2024-11-19,33.95,34.6,33.7,34.2,1097591
2024-11-20,34.6,34.75,34.05,34.05,913245
2024-11-21,33.9,34.75,33.8,34.7,1098930
2024-11-22,35.0,35.25,34.25,34.25,1317999
2024-11-25,34.5,34.7,34.35,34.5,688676
2024-11-26,34.45,34.6,34.05,34.2,733027
2024-11-27,34.2,34.4,33.05,33.05,1574593
2024-11-28,32.5,33.25,32.45,32.9,830958
2024-11-29,32.8,33.1,32.55,33.0,470911
2024-12-02,33.2,33.4,32.6,32.7,743001
2024-12-03,32.9,33.35,32.9,33.1,330258
2024-12-04,33.1,34.0,33.1,33.85,906247
2024-12-05,34.0,34.15,33.5,33.6,644834
2024-12-06,33.7,34.3,33.7,33.9,499877
2024-12-09,34.15,34.75,33.75,33.9,777603
2024-12-10,33.75,34.25,33.3,33.4,555453
2024-12-11,33.6,33.7,32.95,33.25,513159
2024-12-12,33.45,34.1,33.25,33.35,483162
2024-12-13,33.35,33.65,32.5,32.65,683317
2024-12-16,32.6,32.8,32.0,32.05,667186
2024-12-17,32.1,33.25,32.1,32.85,429824
2024-12-18,32.8,34.4,32.6,33.95,1945124
2024-12-19,33.65,34.35,33.65,33.95,1287137
2024-12-20,34.3,34.85,33.6,33.6,1257316
2024-12-23,34.05,34.95,34.05,34.35,978275
2024-12-24,34.6,34.8,33.9,33.95,569126
2024-12-25,34.1,34.4,33.85,34.15,429588
2024-12-26,34.2,34.55,33.85,33.85,408882
2024-12-27,33.85,34.05,33.6,33.65,408325
2024-12-30,33.5,33.95,33.15,33.15,491082
2024-12-31,32.8,33.75,32.8,33.45,408055
2025-01-02,33.6,34.1,33.55,33.55,313467
2025-01-03,33.75,34.1,33.1,33.1,474202
2025-01-06,33.1,34.1,33.05,33.5,587170
2025-01-07,33.5,33.75,32.9,33.0,652043
2025-01-08,33.0,33.5,32.9,33.3,454523
2025-01-09,34.0,34.5,33.15,33.25,1249124
2025-01-10,33.25,33.5,32.85,33.05,488369
2025-01-13,32.65,32.65,31.1,31.65,1310396
2025-01-14,31.95,32.35,31.5,32.3,578708
2025-01-15,32.0,32.55,31.9,32.0,360372
2025-01-16,32.45,32.75,32.1,32.1,221006
2025-01-17,32.3,32.35,31.85,32.35,252173
2025-01-20,32.6,32.7,32.05,32.6,291700
2025-01-21,32.5,32.8,32.3,32.4,281550
2025-01-22,32.65,32.9,32.5,32.9,400417
2025-02-03,32.45,32.45,31.0,32.25,650338
2025-02-04,32.25,32.25,31.8,31.9,273406
2025-02-05,32.15,32.75,32.15,32.65,244444
2025-02-06,32.9,33.3,32.85,33.1,286129
2025-02-07,33.05,33.7,33.05,33.5,402857
2025-02-10,33.45,34.3,33.45,34.15,930824
2025-02-11,34.4,34.55,34.05,34.1,830459
2025-02-12,34.2,34.5,33.7,33.85,395566
2025-02-13,33.75,34.35,33.75,34.15,434421
2025-02-14,34.15,34.4,33.9,34.3,387913
2025-02-17,34.5,34.65,34.15,34.5,546451
2025-02-18,34.45,35.0,34.2,34.95,492584
2025-02-19,35.0,35.25,34.85,35.0,694272
2025-02-20,35.15,35.3,34.9,35.3,789441
2025-02-21,35.45,35.7,35.25,35.35,778413
2025-02-24,35.25,35.25,34.95,35.0,453806
2025-02-25,35.0,35.15,34.65,34.65,445629
2025-02-26,34.65,34.7,34.2,34.6,552349
2025-02-27,34.3,34.55,33.25,33.25,1477762
2025-03-03,32.55,33.0,32.0,32.25,1109893
2025-03-04,31.75,32.45,31.55,32.2,576811
2025-03-05,32.15,32.65,32.15,32.6,457958
2025-03-06,32.6,32.75,31.9,31.9,917499
2025-03-07,31.85,32.05,31.7,31.75,475575
2025-03-10,31.75,32.1,31.65,31.85,340350
2025-03-11,31.5,31.5,30.5,31.05,1159371
2025-03-12,31.1,31.8,31.1,31.65,458236
2025-03-13,31.9,32.1,31.1,31.1,376049
2025-03-14,31.1,31.45,30.95,31.3,385308
2025-03-17,31.25,31.6,31.25,31.3,270525
2025-03-18,31.45,31.75,31.45,31.65,223635
2025-03-19,31.65,31.8,31.25,31.4,264711
2025-03-20,31.6,31.75,31.45,31.45,290097
2025-03-21,31.45,31.45,31.05,31.15,254330
2025-03-24,31.1,31.2,30.8,30.8,420933
